PID,Chipset,Memory Max,Memory Type,Memory Slots,PCI-E x16 Slots,PCI-E x8 Slots,PCI-E x4 Slots,PCI-E x1 Slots,PCI Slots,M.2 Slots,Mini-PCIe Slots,Half Mini-PCIe Slots,Mini-PCIe / mSATA Slots,mSATA Slots,Onboard Ethernet,SATA 6 Gb/s,Onboard Video,USB 2.0 Headers,USB 2.0 Headers (Single Port),USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,USB 3.2 Gen 2x2 Headers,Supports ECC,Wireless Networking,RAID Support,Memory Speed Min,Memory Speed Max,Socket,Motherboard Form Factor,PATA 100,SATA 3 Gb/s,U.2,PATA 133,SAS 12 Gb/s,SAS 3 Gb/s,SAS 6 Gb/s,SATA 1.5 Gb/s
83,298,128,0,4,3,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,Y,2133,4400,0,0,,,,,,,,
84,298,128,0,4,2,0,0,2,0,"2260/2280/22110 M-key
2242/2260/2280 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,Y,2133,4533,0,0,,,,,,,,
85,309,64,0,2,1,0,0,2,0,2242/2260/2280 M-key,0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,,N,2133,2933,1,1,,,,,,,,
86,297,128,0,4,3,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 2.5 Gb/s,4,N,2,0,2,1,0,N,Wi-Fi 6,Y,1866,4600,0,0,,,,,,,,
87,299,128,0,4,2,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,Y,2133,3600,0,0,,,,,,,,
88,305,64,0,2,1,0,0,1,0,,0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,,Y,1866,2933,0,1,,,,,,,,
89,298,128,0,4,2,0,0,3,0,"2242/2260/2280 M-key
2242/2260/2280/22110 M-key
2230 E-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,Y,1866,4866,0,0,,,,,,,,
90,297,128,0,4,3,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 1 Gb/s,8,Depends on CPU,2,0,1,1,0,N,,Y,2133,4400,0,0,,,,,,,,
91,299,128,0,4,2,0,0,3,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,Y,2133,4400,0,0,,,,,,,,
92,300,128,0,4,2,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,"1 x 1 Gb/s
1 x 2.5 Gb/s",6,Depends on CPU,2,0,1,1,0,N,,Y,2133,4800,1,0,,,,,,,,
93,298,128,0,4,3,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,0,0,N,Wi-Fi 5,Y,2133,5000,0,0,,,,,,,,
94,299,128,0,4,2,0,0,0,0,"2242/2260/2280 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,Wi-Fi 5,Y,1866,4133,0,1,,,,,,,,
95,304,128,0,4,3,0,0,3,0,2230/2242/2260/2280/22110 M-key,0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,1,0,1,0,0,N,,Y,2133,4266,3,0,,,,,,,,
96,301,64,0,2,1,0,0,2,0,2242/2260/2280 M-key,0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,N,2133,5600,1,1,,,,,,,,
97,298,128,0,4,2,0,0,3,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key
2230 E-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,Y,2133,4600,0,0,,,,,,,,
98,298,128,0,4,2,0,0,1,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 2.5 Gb/s,4,Depends on CPU,2,0,1,0,0,N,,Y,2133,4733,0,1,,,,,,,,
99,299,64,0,4,2,0,0,1,0,2242/2260/2280/22110 M-key,0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,2,0,1,0,0,N,,Y,2133,3200,0,1,,,,,,,,
100,297,128,0,4,3,0,0,0,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,"1 x 1 Gb/s
1 x 10 Gb/s",6,N,1,0,2,1,0,N,Wi-Fi 6,Y,2133,4400,0,3,,,,,,,,
